tmdb_id,imdb_id,title,release_year,genres,budget,box_office_revenue,vote_average,vote_count
458735,tt0310242,Diagnosis Murder: Town Without Pity,2002,Crime,0,0,7.6,5
458664,tt0346764,Cleavage,2002,"TV Movie, Documentary",0,0,5.6,5
454287,tt7817670,80000 Shots,2002,Documentary,0,0,5.0,5
453484,tt0313802,Yeşil Işık,2002,"Fantasy, Comedy, Drama",0,0,3.3,6
451981,tt0329547,Rocket Power: Race Across New Zealand,2002,"Animation, TV Movie, Action, Comedy",0,0,6.4,5
451467,tt0304144,Harvey,2002,"Drama, Horror",0,0,4.714,7
448978,tt0332536,eXXXorcisms,2002,"Thriller, Mystery, Drama, Horror",0,0,3.9,7
444094,tt10687626,Landscapes and Figures,2002,Drama,0,0,6.7,6
442253,tt4580654,Animation Store Manager,2002,Animation,0,0,4.2,6
439454,tt0327214,Une Ferrari pour deux,2002,"Comedy, Family",0,0,5.7,7
435147,tt0425043,From Puppets to Pixels: Digital Characters in 'Episode II',2002,Documentary,0,0,6.5,10
434967,tt0479792,Forbidden Lust,2002,Thriller,0,0,5.857,7
432423,tt0329794,Yyyreek!!! Kosmiczna nominacja,2002,Comedy,0,0,2.2,8
431235,tt0304968,"Zapada, Una Comedia Beat",2002,Comedy,0,0,5.0,5
429523,tt0328835,Aside,2002,Documentary,0,0,7.8,5
428419,tt0295633,North Station,2002,"Family, Drama",0,0,5.45,10
416365,tt0366361,Deviant Vixens,2002,"Fantasy, Drama",0,0,4.8,5
413817,tt0341543,The Rapsittie Street Kids: Believe in Santa,2002,"Animation, Family, TV Movie, Music",650000,0,2.2,33
411183,tt0356129,Titli,2002,Drama,0,0,5.8,5
409585,tt0213824,Hounded on a Carnival Monday,2002,Drama,0,0,4.167,6
408784,tt0193545,Looking for Leonard,2002,"Comedy, Crime, Drama, Romance",0,0,4.0,7
407714,tt0420143,A Friend Indeed,2002,Comedy,0,0,5.3,15
407321,tt0347230,If U Care...,2002,"Comedy, Romance, Fantasy",0,0,5.4,5
406872,tt0355715,His Excellency the Minister,2002,Drama,0,0,7.583,12
405524,tt0819134,Vasya,2002,Documentary,0,0,4.9,5
404616,tt0475108,Nakoruru: A Gift from That Person,2002,"Animation, Fantasy, Romance",0,0,4.4,8
403335,tt0284345,Netto Perde Sua Alma,2002,"History, War",0,0,7.4,5
402804,tt0420024,Notre Dame de Paris - Live Arena di Verona,2002,"Drama, Music, Romance, TV Movie",0,0,9.118,17
398901,tt0339899,Who Wants to Be an Erotic Billionaire?,2002,Comedy,0,0,3.6,5
396680,tt0327059,It's Summer at Long Last,2002,"Adventure, Family",0,0,4.2,5
395540,tt0363190,The Visitor,2002,"Romance, Drama, Mystery",0,0,4.688,8
392857,tt0310227,The Three Wishes,2002,"Romance, Drama, Thriller",0,0,4.2,5
392139,tt0345239,Flesh and Blood,2002,"Drama, TV Movie",0,0,5.0,7
391690,tt0327638,Dexter's Laboratory: Chicken Scratch,2002,"Animation, Comedy",0,0,6.3,13
391163,tt5252768,Midnight Stalker,2002,"Thriller, Horror",0,0,3.833,6
390847,tt4829240,Ryusei-Kacho,2002,"Fantasy, Comedy",0,0,7.2,9
389245,tt0312883,Kya Yehi Pyaar Hai,2002,"Romance, Comedy, Music",0,0,5.6,6
