title,release_date,budget,revenue,runtime,genres,release_year,title_clean,film,year_film,oscar_nominations,oscar_wins,oscar_nominated,oscar_won
Die Katze,2007-10-03,0.0,0.0,93.0,[],2007,die katze,,,0.0,0.0,False,False
Kiri Te Kanawa: A Celebration Live at the Royal Albert Hall,2007-08-14,0.0,0.0,0.0,['Music'],2007,kiri te kanawa a celebration live at the royal albert hall,,,0.0,0.0,False,False
The Invasion,2007-08-17,80000000.0,40170558.0,99.0,"['Horror', 'Mystery', 'Science Fiction', 'Thriller']",2007,the invasion,,,0.0,0.0,False,False
Onionhead,2007-10-13,0.0,0.0,0.0,['Horror'],2007,onionhead,,,0.0,0.0,False,False
The Assassination of Jesse James by the Coward Robert Ford,2007-09-20,30000000.0,14711793.0,160.0,"['Drama', 'Western']",2007,the assassination of jesse james by the coward robert ford,The Assassination of Jesse James by the Coward Robert Ford,2007.0,2.0,0.0,True,False
Genius Party,2007-07-07,0.0,0.0,102.0,"['Animation', 'Science Fiction', 'Fantasy', 'Action', 'Drama', 'Comedy']",2007,genius party,,,0.0,0.0,False,False
Beowulf,2007-11-05,70000000.0,195735876.0,115.0,"['Adventure', 'Action', 'Animation']",2007,beowulf,,,0.0,0.0,False,False
Russian Lolita,2007-01-03,0.0,0.0,93.0,"['Romance', 'Drama']",2007,russian lolita,,,0.0,0.0,False,False
Retribution Road,2007-10-01,0.0,0.0,85.0,"['Action', 'Adventure', 'Thriller', 'Western']",2007,retribution road,,,0.0,0.0,False,False
Der Komödienstadel - Der magische Anton,2007-10-14,0.0,0.0,0.0,['Comedy'],2007,der komdienstadel  der magische anton,,,0.0,0.0,False,False
Cinderella III: A Twist in Time,2007-02-06,0.0,0.0,74.0,"['Animation', 'Romance', 'Family', 'Fantasy']",2007,cinderella iii a twist in time,,,0.0,0.0,False,False
Verdi: Il Trovatore,2007-07-30,0.0,0.0,119.0,[],2007,verdi il trovatore,,,0.0,0.0,False,False
Crash Road,2007-11-22,0.0,0.0,87.0,['Comedy'],2007,crash road,,,0.0,0.0,False,False
Doe Maar the Musical,2007-01-27,0.0,0.0,135.0,['Music'],2007,doe maar the musical,,,0.0,0.0,False,False
Pornorama,2007-10-11,0.0,0.0,94.0,['Comedy'],2007,pornorama,,,0.0,0.0,False,False
30 Days of Night,2007-10-17,30000000.0,80276156.0,113.0,"['Horror', 'Thriller']",2007,30 days of night,,,0.0,0.0,False,False
