title,release_date,budget,revenue,roi,vote_average,vote_count,runtime,genres,avg_trend_before,max_trend_before,peak_date_before,avg_trend_after,max_trend_after
End of Watch,2012-09-20,7000000,55078146,7.87,7.347,3543,109,"Crime, Drama, Thriller",,,,7.9,100.0
Men in Black 3,2012-05-23,225000000,654213485,2.91,6.539,10850,106,"Action, Comedy, Science Fiction",,,,,
Rise of the Guardians,2012-11-21,145000000,306941670,2.12,7.373,7069,97,"Animation, Family, Fantasy, Action, Adventure",1.39,100.0,2012-11-21,37.94,100.0
That's My Boy,2012-06-14,70000000,57719093,0.82,5.805,2122,116,Comedy,,,,,
The Dictator,2012-05-15,65000000,179379533,2.76,6.222,6320,83,Comedy,,,,25.56,100.0
Safe,2012-04-16,30000000,40300000,1.34,6.498,2632,94,"Action, Crime, Thriller",,,,79.03,100.0
Killer Joe,2012-06-07,10000000,4633668,0.46,6.537,1548,102,"Crime, Thriller, Drama",,,,,
Premium Rush,2012-08-24,35000000,31100000,0.89,6.334,2249,91,"Crime, Action, Thriller",,,,3.12,100.0
Dredd,2012-09-07,50000000,41037742,0.82,6.858,5432,96,"Action, Science Fiction",,,,37.81,100.0
"Jeff, Who Lives at Home",2012-03-16,10000000,4400000,0.44,6.222,675,83,"Drama, Comedy",,,,,
Seven Psychopaths,2012-10-12,15000000,33035736,2.2,6.82,4204,110,"Comedy, Crime",,,,3.12,100.0
Madagascar 3: Europe's Most Wanted,2012-06-06,145000000,746921274,5.15,6.628,6489,93,"Animation, Family, Comedy, Adventure",,,,,
The Perks of Being a Wallflower,2012-09-20,13000000,33384127,2.57,7.803,11062,103,Drama,2.82,100.0,2012-06-07,19.94,100.0
