adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,budget,revenue,runtime,genres
False,,[18],370222,sl,Umetni raj,"Los Angeles in 1935. Fritz Lang receives in his hotel apartment the young film amateur Willy, who wants to prepare an interview with him. At a certain moment Lang starts relating how, as an army officer in the First World War, he spent some time in the house of the lawyer Karol Gatnik in a small town in the northeast of Slovenia.  Lang makes friends with Gatnik and gets aquainted with all members of his family. When Lang finds out that Gatnik is a passionate film amateur and that he also possesses his own camera, they make a film together. This is probably Lang’s first contact with cinematography. Late at night Lang looks at the photographs in Los Angeles and revives in his spirit the imaginary meeting with his friend Gatnik.",6.9432,/lPjmEpIFs4wPGGvTxTvUwjKl6Sw.jpg,1990-05-29,Artificial Paradise,False,8.0,3,0.0,0.0,98.0,['Drama']
False,,[18],801637,cs,Bludiště,,7.7064,,1990-02-14,Bludiště,False,0.0,0,0.0,0.0,0.0,['Drama']
False,,[18],280365,te,Lorry Driver,"Ranganayakulu exploits his employees while framing them in various illegal cases. However, Balamurali, a lorry driver, decides to fight against him with the help of an IAS officer, Lalitha Devi.",8.1729,/ixq6d1MkTMxIAph09wSgTwful10.jpg,1990-12-21,Lorry Driver,False,6.0,1,0.0,0.0,135.0,['Drama']
False,/fNkt4S5iXgBD4ea5bP9MZRHO8su.jpg,"[27, 53]",11186,en,Child's Play 2,"Chucky is reconstructed by a toy factory to dispel the negative publicity surrounding the doll, and tracks young Andy Barclay to a foster home where the chase begins again.",4.394,/2tPQbPQeHEYAGoXFSW61IWNmoce.jpg,1990-11-09,Child's Play 2,False,6.353,1990,13000000.0,35763605.0,84.0,"['Horror', 'Thriller']"
False,,"[35, 18]",618139,nl,Han de Wit,Has is a strange kid: at school he's a nice student but at home he's dominating his parents... .,3.464,/xCjdRej3f0eDpg67z0c6iXerxtL.jpg,1990-02-16,Han de Wit,False,10.0,1,0.0,0.0,90.0,"['Comedy', 'Drama']"
False,/xSLWhUAX1SGls62arryd7n0fvP6.jpg,"[80, 28]",444996,ja,ネオ チンピラ 鉄砲玉ぴゅ～,"Junko pretends to be a yakuza and gets more than he bargained for when he is tasked with avenging the murder of a fellow gang member. If he turns the task down, he will face the consequences for betrayal.",4.4308,/pMd41OUDkxPCdxbgMG4hE9ggDre.jpg,1990-05-11,Neo Chinpira: Zoom Goes the Bullet,False,6.7,6,0.0,0.0,85.0,"['Crime', 'Action']"
False,/hZZnYZfTGJD2HUyKwyqYaOZiVNR.jpg,[18],5075,fr,"Jean Galmot, aventurier","Evocation of the life of the journalist Jean Galmot, adventurer, who established himself as a gold digger in Guyana in 1906. Madly in love with this country, he will die for having wanted to give dignity and freedom to the Guyanese people.",2.944,/dahxdXEKMUS4KDUlxf7iRMSAkMS.jpg,1990-10-24,"Jean Galmot, aventurier",False,5.875,8,0.0,0.0,190.0,['Drama']
False,/3ZohISQDjkS0PtjCJss72MFaBEj.jpg,[53],9491,en,Blue Steel,"Rookie cop Megan Turner orders a burglar to drop his gun. He whirls to shoot. Too late. Turner fires, killing him instantly. When someone lifts the assailant's gun from the crime scene, the police hold Turner accountable for killing an unarmed man. That same someone carves Turner's name into the bullets and uses them in a series of murders. Turner teams up with detective Nick Mann to clear her name and catch the killer. But she is drawn into a deadly game of wits with a psychopath who's always one step ahead… and much closer than she thinks!",7.546,/mPUrodB3k8NYcvr4WPwtjSe1Mv9.jpg,1990-03-16,Blue Steel,False,5.793,447,0.0,8217997.0,102.0,['Thriller']
False,,[53],642842,en,Bold Stroke,An artist's affair with an exotic dancer turns deadly when the woman's vicious boyfriend arrives on the scene.,5.4346,/hLkaJVk6YcCKna5lm5FIiOgykT5.jpg,1990-11-01,Bold Stroke,False,0.0,0,0.0,0.0,88.0,['Thriller']
False,/z9lfzevOQziDTs2LJRNEzP19zbp.jpg,[80],937877,cs,Přátelská výpomoc,,8.448,,1990-10-06,Přátelská výpomoc,False,0.0,0,0.0,0.0,0.0,['Crime']
