title,release_date,budget,revenue,runtime,genres,release_year
Pearl Harbor,2001-05-21,140000000.0,449220945.0,183.0,"['War', 'Romance', 'History', 'Action']",2001
Mulholland Drive,2001-06-06,15000000.0,20289986.0,147.0,"['Thriller', 'Drama', 'Mystery']",2001
Ocean's Eleven,2001-12-07,85000000.0,450717150.0,116.0,"['Thriller', 'Crime']",2001
Legally Blonde,2001-07-13,18000000.0,141778365.0,96.0,['Comedy'],2001
The Princess Diaries,2001-08-03,37000000.0,165335153.0,115.0,"['Comedy', 'Family', 'Romance']",2001
Donnie Darko,2001-01-19,4500000.0,7500000.0,114.0,"['Fantasy', 'Drama', 'Mystery']",2001
Amélie,2001-04-25,10000000.0,173921954.0,122.0,"['Comedy', 'Romance']",2001
Vanilla Sky,2001-12-14,68000000.0,203388341.0,136.0,"['Mystery', 'Romance', 'Science Fiction']",2001
Moulin Rouge!,2001-05-18,52500000.0,179213434.0,128.0,"['Drama', 'Romance', 'Music']",2001
Imitation of Kiss,2001-01-01,0.0,0.0,4.0,[],2001
A Beautiful Mind,2001-12-14,58000000.0,316791257.0,135.0,"['Drama', 'Romance']",2001
Rush Hour 2,2001-08-03,90000000.0,347325802.0,90.0,"['Action', 'Comedy', 'Crime']",2001
Training Day,2001-10-05,45000000.0,104900000.0,122.0,"['Action', 'Crime', 'Drama']",2001
Lara Croft: Tomb Raider,2001-06-15,115000000.0,274703340.0,100.0,"['Adventure', 'Action', 'Fantasy']",2001
Jeepers Creepers,2001-07-01,10000000.0,59217789.0,90.0,['Horror'],2001
Black Hawk Down,2001-12-28,92000000.0,172989651.0,145.0,"['Action', 'War', 'History']",2001
How High,2001-12-21,12000000.0,31200000.0,93.0,['Comedy'],2001
Shaolin Soccer,2001-07-05,10000005.0,42776760.0,113.0,"['Action', 'Comedy']",2001
World War II: The Battle of Kursk,2001-01-01,0.0,0.0,59.0,"['Documentary', 'History', 'War']",2001
Recitation Travelogue - Masterpieces of Japan: Jesus in the Barn,2001-08-06,0.0,0.0,50.0,"['Documentary', 'TV Movie']",2001
Rieke's Love,2001-10-29,0.0,0.0,89.0,['Drama'],2001
Lemon Popsicle 9: The Party Goes On,2001-08-03,0.0,0.0,95.0,"['Comedy', 'Romance']",2001
Serendipity,2001-10-05,28000000.0,77516304.0,90.0,"['Comedy', 'Romance']",2001
A Knight's Tale,2001-05-11,65000000.0,117487473.0,133.0,"['Adventure', 'Drama', 'Romance', 'Action']",2001
A.I. Artificial Intelligence,2001-06-29,100000000.0,235926552.0,146.0,"['Drama', 'Science Fiction', 'Adventure']",2001
The Others,2001-08-02,17000000.0,210002906.0,101.0,"['Horror', 'Mystery', 'Thriller']",2001
Margarita Happy Hour,2001-01-22,0.0,0.0,98.0,['Drama'],2001
Planet of the Apes,2001-07-26,100000000.0,362211740.0,120.0,"['Thriller', 'Science Fiction', 'Action', 'Adventure']",2001
Cats & Dogs,2001-06-23,60000000.0,200687492.0,87.0,"['Family', 'Comedy', 'Action', 'Adventure', 'Fantasy']",2001
Sonhos Tropicais,2001-10-01,0.0,0.0,124.0,"['Drama', 'History']",2001
Y Tu Mamá También,2001-06-08,5000000.0,33600000.0,106.0,"['Drama', 'Romance']",2001
Good Morning Call,2001-02-08,0.0,0.0,19.0,"['Animation', 'Comedy', 'Drama', 'Romance']",2001
The Score,2001-07-13,68000000.0,113579918.0,124.0,"['Action', 'Crime', 'Thriller', 'Mystery', 'Drama']",2001
Hostage,2001-02-28,0.0,0.0,100.0,['Action'],2001
